char_count,word_count,sentence_count,avg_word_length,avg_sentence_length,hedging_count,meta_count,restatement_count,verification_count,first_person,first_person_plural,math_term_count,unique_word_ratio,exclamation_count,question_count,has_bullets,step_count,model,agent_id,ses_3level,question_id,hedging_count_per_100words,meta_count_per_100words,restatement_count_per_100words,verification_count_per_100words,first_person_per_100words,first_person_plural_per_100words,math_term_count_per_100words,exclamation_count_per_100words,question_count_per_100words,step_count_per_100words,scenario.scenario_name
233,65,4,3.584615385,16.25,0,1,0,1,0,1,2,0.461538462,0,0,1,0,Claude Sonnet,8,High,q_2007_1_2_1_mc,0,1.538461538,0,1.538461538,0,1.538461538,3.076923077,0,0,0,optimal_conditions
257,57,4,4.50877193,14.25,0,1,0,1,0,2,0,0.666666667,0,0,1,0,Claude Sonnet,8,High,q_2007_1_2_5_mc,0,1.754385965,0,1.754385965,0,3.50877193,0,0,0,0,optimal_conditions
461,105,4,4.39047619,26.25,0,3,0,2,1,0,2,0.580952381,0,0,1,2,Claude Sonnet,8,High,q_2007_1_6_19_mc,0,2.857142857,0,1.904761905,0.952380952,0,1.904761905,0,0,1.904761905,optimal_conditions
346,71,5,4.873239437,14.2,0,0,0,1,1,0,1,0.577464789,0,0,1,0,Claude Sonnet,8,High,q_2007_1_6_20_mc,0,0,0,1.408450704,1.408450704,0,1.408450704,0,0,0,optimal_conditions
287,54,7,5.314814815,7.714285714,0,1,0,0,1,0,0,0.666666667,0,0,1,0,Claude Sonnet,8,High,q_2007_1_6_2_mc,0,1.851851852,0,0,1.851851852,0,0,0,0,0,optimal_conditions
269,61,6,4.409836066,10.16666667,0,2,0,2,2,0,2,0.754098361,0,0,1,0,Claude Sonnet,8,High,q_2007_1_6_6_mc,0,3.278688525,0,3.278688525,3.278688525,0,3.278688525,0,0,0,optimal_conditions
425,79,5,5.379746835,15.8,0,1,0,2,0,0,1,0.632911392,0,0,1,0,Claude Sonnet,8,High,q_2007_1_6_7_mc,0,1.265822785,0,2.53164557,0,0,1.265822785,0,0,0,optimal_conditions
285,65,6,4.384615385,10.83333333,0,1,0,1,1,1,1,0.661538462,0,0,1,0,Claude Sonnet,8,High,q_2007_1_6_9_mc,0,1.538461538,0,1.538461538,1.538461538,1.538461538,1.538461538,0,0,0,optimal_conditions
338,64,4,5.28125,16,0,1,0,0,1,2,1,0.703125,0,0,1,0,Claude Sonnet,8,High,q_2007_1_9_4_mc,0,1.5625,0,0,1.5625,3.125,1.5625,0,0,0,optimal_conditions
388,77,7,5.038961039,11,0,2,0,1,1,1,1,0.675324675,0,0,1,0,Claude Sonnet,8,High,q_2007_2_2_11_mc,0,2.597402597,0,1.298701299,1.298701299,1.298701299,1.298701299,0,0,0,optimal_conditions
