agent_id,agent.ses_background,scenario.scenario_name,scenario.scenario_index,correct.q_2007_1_9_4_mc,correct.q_2007_1_6_20_mc,correct.q_2007_4_3_8_mc,correct.q_2007_1_6_7_mc,correct.q_2007_2_2_17_mc,correct.q_2007_3_4_7_mc,correct.q_2007_3_9_5_mc,correct.q_2007_4_3_2_mc,correct.q_2007_2_9_8_mc,correct.q_2007_4_3_19_mc,correct.q_2007_4_6_2_mc,correct.q_2007_2_6_2_mc,correct.q_2007_2_9_15_mc,correct.q_2007_3_9_13_mc,correct.q_2007_3_9_11_mc,correct.q_2007_3_9_4_mc,correct.q_2007_1_6_6_mc,correct.q_2007_2_9_5_mc,correct.q_2007_3_9_15_mc,correct.q_2007_1_9_13_mc,correct.q_2007_4_9_5_mc,correct.q_2007_2_2_11_mc,correct.q_2007_1_2_5_mc,correct.q_2007_2_2_15_mc,correct.q_2007_1_6_19_mc,correct.q_2007_1_6_2_mc,correct.q_2007_3_4_1_mc,correct.q_2007_2_6_6_mc,correct.q_2007_3_9_1_mc,correct.q_2007_1_2_8_mc,correct.q_2007_1_2_1_mc,correct.q_2007_4_9_1_mc,correct.q_2007_1_6_12_mc,correct.q_2007_4_9_11_mc,correct.q_2007_2_9_12_mc,correct.q_2007_4_9_12_mc,correct.q_2007_4_3_18_mc,correct.q_2007_4_3_3_mc,correct.q_2007_3_4_4_mc,correct.q_2007_1_6_9_mc,correct.q_2007_2_2_6_mc,correct.q_2007_2_6_1_mc,correct.q_2007_2_6_12_num,correct.q_2007_1_2_9_num,correct.q_2007_3_9_12_num,correct.q_2007_2_2_20_num,correct.q_2007_2_6_16_num,correct.q_2007_3_9_16_num,correct.q_2007_2_6_18_num,correct.q_2007_4_6_14_num,correct.q_2007_3_4_9_num,correct.q_2007_1_2_15_num,correct.q_2007_4_6_15_num,correct.q_2007_2_6_8_num,ses_3level
9,"upper-middle class, professional parents",optimal_conditions,0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
9,"upper-middle class, professional parents",moderate_stress,1,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
9,"upper-middle class, professional parents",challenging_conditions,2,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
10,"diverse SES, selective magnet school admission",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
10,"diverse SES, selective magnet school admission",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
10,"diverse SES, selective magnet school admission",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
11,"low income, first-generation college, highly motivated",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
11,"low income, first-generation college, highly motivated",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
11,"low income, first-generation college, highly motivated",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
12,"affluent, high-income professional family",optimal_conditions,0,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
12,"affluent, high-income professional family",moderate_stress,1,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
12,"affluent, high-income professional family",challenging_conditions,2,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
13,"middle to upper-middle class, parents support academic interests",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
13,"middle to upper-middle class, parents support academic interests",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
13,"middle to upper-middle class, parents support academic interests",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
14,"varies, talent identified early through gifted programs",optimal_conditions,0,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
14,"varies, talent identified early through gifted programs",moderate_stress,1,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
14,"varies, talent identified early through gifted programs",challenging_conditions,2,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
15,"upper-middle class, achievement-oriented family",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
15,"upper-middle class, achievement-oriented family",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
15,"upper-middle class, achievement-oriented family",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
38,"upper-class, generational wealth, highly educated family",optimal_conditions,0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
38,"upper-class, generational wealth, highly educated family",moderate_stress,1,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
38,"upper-class, generational wealth, highly educated family",challenging_conditions,2,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
39,"affluent, parents are international business executives",optimal_conditions,0,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
39,"affluent, parents are international business executives",moderate_stress,1,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
39,"affluent, parents are international business executives",challenging_conditions,2,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
40,"very affluent, parents are tech entrepreneurs/engineers",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
40,"very affluent, parents are tech entrepreneurs/engineers",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
40,"very affluent, parents are tech entrepreneurs/engineers",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
41,"wealthy family, connected in business and social circles",optimal_conditions,0,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
41,"wealthy family, connected in business and social circles",moderate_stress,1,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
41,"wealthy family, connected in business and social circles",challenging_conditions,2,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
42,"upper-middle to upper class, professional family",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
42,"upper-middle to upper class, professional family",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,High
