model,agent.ses_background,scenario.scenario_name,scenario.scenario_index,correct.q_2007_3_9_1_mc,correct.q_2007_2_9_8_mc,correct.q_2007_1_9_4_mc,correct.q_2007_4_6_2_mc,correct.q_2007_3_9_4_mc,correct.q_2007_2_9_12_mc,correct.q_2007_1_6_7_mc,correct.q_2007_1_2_1_mc,correct.q_2007_4_3_8_mc,correct.q_2007_3_4_4_mc,correct.q_2007_1_2_5_mc,correct.q_2007_4_9_5_mc,correct.q_2007_4_3_3_mc,correct.q_2007_3_9_11_mc,correct.q_2007_1_6_19_mc,correct.q_2007_2_9_5_mc,correct.q_2007_2_6_1_mc,correct.q_2007_1_6_6_mc,correct.q_2007_1_6_9_mc,correct.q_2007_3_9_5_mc,correct.q_2007_4_9_11_mc,correct.q_2007_2_2_11_mc,correct.q_2007_4_9_1_mc,correct.q_2007_3_4_1_mc,correct.q_2007_2_6_6_mc,correct.q_2007_1_6_20_mc,correct.q_2007_4_3_2_mc,correct.q_2007_2_6_2_mc,ses_3level
Claude Sonnet,"upper-middle class, professional parents",optimal_conditions,0,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,High
Claude Sonnet,"diverse SES, selective magnet school admission",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Claude Sonnet,"affluent, high-income professional family",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Claude Sonnet,"middle to upper-middle class, parents support academic interests",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,High
Claude Sonnet,"varies, talent identified early through gifted programs",optimal_conditions,0,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,High
Claude Sonnet,"upper-middle class, achievement-oriented family",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,High
Claude Sonnet,"upper-middle class, professional parents",moderate_stress,1,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,High
Claude Sonnet,"diverse SES, selective magnet school admission",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Claude Sonnet,"affluent, high-income professional family",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Claude Sonnet,"middle to upper-middle class, parents support academic interests",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,High
Claude Sonnet,"varies, talent identified early through gifted programs",moderate_stress,1,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,High
Claude Sonnet,"upper-middle class, achievement-oriented family",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,High
Claude Sonnet,"upper-middle class, professional parents",challenging_conditions,2,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,High
Claude Sonnet,"diverse SES, selective magnet school admission",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Claude Sonnet,"affluent, high-income professional family",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Claude Sonnet,"middle to upper-middle class, parents support academic interests",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,High
