char_count,word_count,sentence_count,avg_word_length,avg_sentence_length,hedging_count,meta_count,restatement_count,verification_count,first_person,first_person_plural,math_term_count,unique_word_ratio,exclamation_count,question_count,has_bullets,step_count,model,agent_id,ses_3level,question_id,hedging_count_per_100words,meta_count_per_100words,restatement_count_per_100words,verification_count_per_100words,first_person_per_100words,first_person_plural_per_100words,math_term_count_per_100words,exclamation_count_per_100words,question_count_per_100words,step_count_per_100words,scenario.scenario_name
227,64,4,3.546875,16,0,1,0,1,0,1,2,0.453125,0,0,1,0,Claude Sonnet,8,High,q_2007_1_2_1_mc,0,1.5625,0,1.5625,0,1.5625,3.125,0,0,0,optimal_conditions
273,60,4,4.55,15,0,1,0,1,0,1,0,0.683333333,0,0,1,0,Claude Sonnet,8,High,q_2007_1_2_5_mc,0,1.666666667,0,1.666666667,0,1.666666667,0,0,0,0,optimal_conditions
452,103,3,4.388349515,34.33333333,0,3,0,2,1,0,2,0.572815534,0,0,1,2,Claude Sonnet,8,High,q_2007_1_6_19_mc,0,2.912621359,0,1.941747573,0.970873786,0,1.941747573,0,0,1.941747573,optimal_conditions
349,72,5,4.847222222,14.4,0,0,0,1,1,0,1,0.583333333,0,0,1,0,Claude Sonnet,8,High,q_2007_1_6_20_mc,0,0,0,1.388888889,1.388888889,0,1.388888889,0,0,0,optimal_conditions
269,61,6,4.409836066,10.16666667,0,2,0,2,2,0,2,0.754098361,0,0,1,0,Claude Sonnet,8,High,q_2007_1_6_6_mc,0,3.278688525,0,3.278688525,3.278688525,0,3.278688525,0,0,0,optimal_conditions
419,83,5,5.048192771,16.6,0,1,0,2,0,0,1,0.662650602,0,0,1,0,Claude Sonnet,8,High,q_2007_1_6_7_mc,0,1.204819277,0,2.409638554,0,0,1.204819277,0,0,0,optimal_conditions
299,68,6,4.397058824,11.33333333,0,1,0,1,1,1,1,0.676470588,0,0,1,0,Claude Sonnet,8,High,q_2007_1_6_9_mc,0,1.470588235,0,1.470588235,1.470588235,1.470588235,1.470588235,0,0,0,optimal_conditions
338,64,4,5.28125,16,0,1,0,0,1,2,1,0.703125,0,0,1,0,Claude Sonnet,8,High,q_2007_1_9_4_mc,0,1.5625,0,0,1.5625,3.125,1.5625,0,0,0,optimal_conditions
360,74,7,4.864864865,10.57142857,0,1,0,2,2,0,1,0.648648649,0,0,1,0,Claude Sonnet,8,High,q_2007_2_2_11_mc,0,1.351351351,0,2.702702703,2.702702703,0,1.351351351,0,0,0,optimal_conditions
264,57,4,4.631578947,14.25,0,2,0,2,0,0,3,0.649122807,0,0,1,2,Claude Sonnet,8,High,q_2007_2_6_1_mc,0,3.50877193,0,3.50877193,0,0,5.263157895,0,0,3.50877193,optimal_conditions
506,106,5,4.773584906,21.2,0,2,0,1,1,0,0,0.518867925,0,0,1,1,Claude Sonnet,8,High,q_2007_2_6_6_mc,0,1.886792453,0,0.943396226,0.943396226,0,0,0,0,0.943396226,optimal_conditions
228,54,4,4.222222222,13.5,0,0,0,1,2,0,4,0.703703704,0,0,1,0,Claude Sonnet,8,High,q_2007_2_9_12_mc,0,0,0,1.851851852,3.703703704,0,7.407407407,0,0,0,optimal_conditions
304,62,3,4.903225806,20.66666667,0,1,0,0,0,1,0,0.661290323,0,0,1,0,Claude Sonnet,8,High,q_2007_3_4_1_mc,0,1.612903226,0,0,0,1.612903226,0,0,0,0,optimal_conditions
440,93,2,4.731182796,46.5,1,1,0,0,1,0,0,0.559139785,0,0,1,0,Claude Sonnet,8,High,q_2007_3_4_4_mc,1.075268817,1.075268817,0,0,1.075268817,0,0,0,0,0,optimal_conditions
301,60,4,5.016666667,15,0,0,0,1,0,0,3,0.683333333,0,0,1,0,Claude Sonnet,8,High,q_2007_3_9_11_mc,0,0,0,1.666666667,0,0,5,0,0,0,optimal_conditions
297,63,5,4.714285714,12.6,1,1,0,2,3,0,0,0.714285714,0,0,1,1,Claude Sonnet,8,High,q_2007_3_9_1_mc,1.587301587,1.587301587,0,3.174603175,4.761904762,0,0,0,0,1.587301587,optimal_conditions
315,60,5,5.25,12,0,1,0,0,1,0,1,0.733333333,0,0,1,0,Claude Sonnet,8,High,q_2007_3_9_4_mc,0,1.666666667,0,0,1.666666667,0,1.666666667,0,0,0,optimal_conditions
257,51,4,5.039215686,12.75,0,1,1,1,1,1,0,0.745098039,0,0,1,0,Claude Sonnet,8,High,q_2007_3_9_5_mc,0,1.960784314,1.960784314,1.960784314,1.960784314,1.960784314,0,0,0,0,optimal_conditions
410,73,6,5.616438356,12.16666667,0,0,0,1,0,1,1,0.684931507,0,0,0,0,Claude Sonnet,8,High,q_2007_4_3_2_mc,0,0,0,1.369863014,0,1.369863014,1.369863014,0,0,0,optimal_conditions
377,74,6,5.094594595,12.33333333,1,0,0,1,0,3,1,0.756756757,0,0,1,0,Claude Sonnet,8,High,q_2007_4_3_8_mc,1.351351351,0,0,1.351351351,0,4.054054054,1.351351351,0,0,0,optimal_conditions
271,49,3,5.530612245,16.33333333,0,0,0,0,0,0,1,0.653061224,0,0,1,0,Claude Sonnet,8,High,q_2007_4_6_2_mc,0,0,0,0,0,0,2.040816327,0,0,0,optimal_conditions
362,81,6,4.469135802,13.5,0,1,0,0,0,1,0,0.555555556,0,0,1,0,Claude Sonnet,8,High,q_2007_4_9_11_mc,0,1.234567901,0,0,0,1.234567901,0,0,0,0,optimal_conditions
312,58,4,5.379310345,14.5,0,3,0,0,1,0,0,0.74137931,0,0,0,1,Claude Sonnet,8,High,q_2007_4_9_1_mc,0,5.172413793,0,0,1.724137931,0,0,0,0,1.724137931,optimal_conditions
266,61,4,4.360655738,15.25,0,0,0,1,0,1,0,0.62295082,0,0,1,0,Claude Sonnet,8,High,q_2007_4_9_5_mc,0,0,0,1.639344262,0,1.639344262,0,0,0,0,optimal_conditions
227,64,4,3.546875,16,0,1,0,1,0,1,2,0.453125,0,0,1,0,Claude Sonnet,8,High,q_2007_1_2_1_mc,0,1.5625,0,1.5625,0,1.5625,3.125,0,0,0,moderate_stress
273,60,4,4.55,15,0,1,0,1,0,1,0,0.683333333,0,0,1,0,Claude Sonnet,8,High,q_2007_1_2_5_mc,0,1.666666667,0,1.666666667,0,1.666666667,0,0,0,0,moderate_stress
452,103,3,4.388349515,34.33333333,0,3,0,2,1,0,2,0.572815534,0,0,1,2,Claude Sonnet,8,High,q_2007_1_6_19_mc,0,2.912621359,0,1.941747573,0.970873786,0,1.941747573,0,0,1.941747573,moderate_stress
349,72,5,4.847222222,14.4,0,0,0,1,1,0,1,0.583333333,0,0,1,0,Claude Sonnet,8,High,q_2007_1_6_20_mc,0,0,0,1.388888889,1.388888889,0,1.388888889,0,0,0,moderate_stress
269,61,6,4.409836066,10.16666667,0,2,0,2,2,0,2,0.754098361,0,0,1,0,Claude Sonnet,8,High,q_2007_1_6_6_mc,0,3.278688525,0,3.278688525,3.278688525,0,3.278688525,0,0,0,moderate_stress
419,83,5,5.048192771,16.6,0,1,0,2,0,0,1,0.662650602,0,0,1,0,Claude Sonnet,8,High,q_2007_1_6_7_mc,0,1.204819277,0,2.409638554,0,0,1.204819277,0,0,0,moderate_stress
299,68,6,4.397058824,11.33333333,0,1,0,1,1,1,1,0.676470588,0,0,1,0,Claude Sonnet,8,High,q_2007_1_6_9_mc,0,1.470588235,0,1.470588235,1.470588235,1.470588235,1.470588235,0,0,0,moderate_stress
338,64,4,5.28125,16,0,1,0,0,1,2,1,0.703125,0,0,1,0,Claude Sonnet,8,High,q_2007_1_9_4_mc,0,1.5625,0,0,1.5625,3.125,1.5625,0,0,0,moderate_stress
360,74,7,4.864864865,10.57142857,0,1,0,2,2,0,1,0.648648649,0,0,1,0,Claude Sonnet,8,High,q_2007_2_2_11_mc,0,1.351351351,0,2.702702703,2.702702703,0,1.351351351,0,0,0,moderate_stress
